text,is_racism,is_against
"O MEC é, sem dúvidas, o Ministério mais aparelhado pela esquerda. Gostaria de lembra-los, senhores, que até bem pouco tempo, tentavam retirar as obras de Monteiro Lobato das escolas por ""Racismo"".  MONTEIRO LOBATO! Esses lacradores não tem limites! #SenadoQuorumMP871",0,0
"Abra seu coração,existe mantras para entrar contato ,sem assim preferir,ofereça tbm cristais,os seres não gosta de cores escuras,por exemplo preto ou vermelho . #VitóriadaLuz 👽 https://t.co/yKHHJZfzbG",0,0
"Vendo chácara condomínio fechado vale dos sonhos Nerópolis Goiás  1500 m2, 30 metros frente com 50 metros de fundo... rua das Tulipas n 15 Contra esquina queda da água para rua Grande oportunidade de negócio  Venda… https://t.co/x1lgSZ9IJy",0,0
"Esse negócio é o mais estranho da vida mano, você passa por pessoas que eram basicamente sua vida e parece que ela é estranha de novo p vc https://t.co/4BygWI1tib",0,0
"Te dei carinho amor, em troca ganhei ingratidão, não sei porquê mas acho que é falta de compreensão, você me tem como um réu o culpado e o ladrão, por tentar ganhar seu coração https://t.co/0vyKd55oH5",0,0
"krl quero mt ir nessa macaca, mas tô numa dó de gastar",0,0
@mfffarias sempre suspeitei do kung fu  esse negócio de correr no vento só podia ser coisa do 7 pele,0,0
"@thaabirb Simm guria, negócio chato",0,0
Ele é 157 e eu que saiu como ladrão,0,0
"- Hoje deve ser votada no Senado a MP 871, que combate as fraudes no INSS, e nós esperamos por sua aprovação, pelo bem do Brasil e dos brasileiros. Caso aprovada, a ação deve gerar uma economia de R$ 100 bilhões em 10 anos, fundamental para seguirmos crescendo. Vamos!",0,0
brincar com esses negócios de man down é o melhor a se fazer pois cansativo demais colocar o pé pra fora de casa e ter que lidar com homem desagradável,0,0
"calypso, companhia do calypso e calcinha preta sabendo que foram a santíssima trindade do pop nortista e nordestino nos anos 2000 https://t.co/CNnkBTOVCK",0,0
"Já repararam que crianças não querem saber se és preto, branco , gay , hetero, homem ou mulher , mas se fores feio elas mesmo vão falar que és feio e não vão querer brincar ctg",0,0
Semana que vem já vou pintar meu cabelo de preto tá maluco,0,0
"@analuisafariaa1 No q eu vi e presenciei, ngm disse q vcs tem q ser aquilo q pregam e pipipopopo o negócio é que a maioria vai pra lá pra fazer ""bagunça"" e não realmente pelo encontro, a intenção é boa SÓ QUE tem gente q vai pelos motivos errados e isso que faz a imagem do negócio",0,0
"Finalmente chegou a minha vez. 🙌 Não tenho palavras para dizer tudo que estou sentindo nesse momento ,obrigada por essa homenagem.. Eu te amo muito, meu preto, que Deus proteja nossa união ❤❤ @Matheuskiibe https://t.co/F2BPk4j7gf",0,0
Encarceramento de gente preta me deixa fóbica,0,0
"""Se gritar pega ladrão, não fica um meu irmão."" https://t.co/JTJfCoPdRD",0,0
"O defensor de bandidos , @senadorhumberto , está defendendo que não retire o auxílio reclusão dos ( criminosos/presos/ estupradores). Está reclamado pq retiraram os sindicatos, bando de ladrão, do cangote do povo.😂 O anão de jardim vai votar Não. #SenadoQuorumMP871 https://t.co/QG700i514w",0,0
Qual melhor foto do Louis?  Primeira: preto Segundo: vermelho  Cite sua resposta usando: My #TeenChoice nominee for #ChoiceMaleArtist is @Louis_Tomlinson https://t.co/wQnkbHtpRY,0,0
"@CampeonatoItal1 Caiu água sanitária na camisa preta, vacilo",0,0
"a campanha de masculinidade toxica aq na bahia eh um avanço no q diz respeito as politicas publicas de conscientização e combate ao machismo, se efetivada de fato. so q ruy, nosso governador, eh macho, toxico e racista",0,0
desse negócio eu sou pamonha vaca atolada e macaxeira frita,0,0
"Uns presidentes levavam ladrões, outros feiticeira, o meu presidente prefere a companhia e a inocência do futuro do Brasil. Melhor exemplo de presidente! https://t.co/u7TwF8BXII",0,0
"jungkook: eu vi que o lauv tem as unhas pintadas de preto e eu gostei muito, quero começar a pintar as minhas unhas também  eu: https://t.co/wm4NXVE34K",0,0
@canalpedrugo @roogomes Preta,0,0
"Mais um trabalho bem feito nessa segunda: Dessa vez com um gaúcho, loiro fetichista, que queria mijada na boca, cheirar minha rola preta azeda e levar leitada na garganta. Nosso segundo encontro em 1 semana...o puto curtiu o negão aqui msm. #PrEP #pentelho #interracial #uncut https://t.co/I0s3zh1auV",0,0
"Ministério Público do Rio erra ao explicar negócio do filho de Jair Bolsonaro https://t.co/j7InZI7W6z // Sem defender nem acusar ninguém, é curioso que atos sejam considerados crimes ou erros, dependendo da conveniência...",0,0
Qual melhor terno?  Primeiro: preto Segundo: cinza  Cite sua resposta usando: My #TeenChoice nominee for #ChoiceMaleArtist is @Louis_Tomlinson https://t.co/9psYpaNEcx,0,0
Douglas Costa cuspiu em um adversário que foi racista com ele e foi afastado da seleção pelo Tite. Era só isso mesmo. https://t.co/nz4qRdsheP,0,0
https://t.co/8e0CelZpCL -  : Dicas de Marketing Digital e Dicas de Negócios: o ... https://t.co/8Xqjd6vNnX,0,0
Sim uso tie dye podem me matar!!!! Mas era só preto e branco,0,0
"Auge, uns heteros aqui falando entre eles: ""Vc sabe lá é libido? É um negócio de tesão parece.""",0,0
Só esse churrasco do faixa preta no vd daqui a pouco rs,0,0
"Coração me fala, como é que você faz um negócio desses?",0,0
@joseserra_ Vc deve achar que o povo brasileiro confia no ibope  o mesmo ibope que falo que o bolsonaro nao ganhava de ninguem no segundo turno das eleiçoes  O Serra vc tem que ficar esperto sio paulo preto começa abrir o bico i falar tudo que sabe Cadeia vai vira um ninho de tucano,0,0
"@growupez Rio, o ladrão que roubou o meu coração",0,0
"Ia correndo contar o negócio que lembrei mas fds também, não sou palhaça",0,0
@Silvio_MKT @superaguia2000 CORRUPTO INDICIADO RECEBEU PROPINA TB LADRÃO!,0,0
experimemta nascer pobre e preto po,0,0
"@randolfeap Isso é mentira. A análise do G1 é furada! Além disso, assim que esse pessoal entender que se os ladrões tiverem alguma dúvida sobre a presença de uma arma em suas casas, eles pensarão duas vezes em adentrar a casa de pessoas de bem e que podem se defender e o seu patrimônio.",0,0
que gozada gostosa desse negão   @_P_O_R_N_O_ @Dotado_Paulista @BoysBHOfficial @LUCAS__LUCASS  @Otavio692x @BoysBHOfficial https://t.co/xY9E3VnUDd,0,0
"pai me disse um negócio q me deixou pensando bastante, que merda",0,0
"Pintura Efeito Mármore, quem gosta e quer, entre em contato 16 98805-0319 - André Couto #texpinte  #efeitomarmore #ribeiraopretosp  #pintor #marmorato #pinturadecorativa #arte #decoração em Ribeirão Preto https://t.co/ETApF71P2M",0,0
o negócio é o seguinte EU NUNCA VOU QUESTIONAR E DÚVIDAR DE UMA MULHER QUE DISSE QUE FOI ESTUPRADA ponto final vão toma no cu baba ovo de macho escroto,0,0
@lizacriativa13 @Lino_Heric Que negócio de física?,0,0
caminhos sem volta na vida do jovem moderno:   usar roupa preta  twitter no modo noturno  colocar musica pra tocar enquanto toma banho  tirar foto do quadro e nunca passar para o caderno visualiza a mensagem só pela barra de notificação  comprar comida e coisas por impulso.,0,0
"Não to crendo no que acabou de acontecer, o que eu fiz p merecer um negócio desses C A R A L H O",0,0
"@witchblads @Unregistred103 @twistedcalliope @ilysmria @yangoddess Se duvida, pegue o próprio Twitter como exemplo, onde pessoas com o mesmo pensamento que o seu, passam pano para o racismo, além se fazerem comentários do tipo:  - ""Tinha q ser branco""  - ""Mais um branco passando vergonha"" Desculpa, mas em q universo isso não é racismo?",0,0
"@taeyanghusband @YuriKaique5 porra teve uma vez q a minha professora falou que ""tudo igual era um caminhão de japoneses"" e pediu desculpa logo em seguida fiquei tipo, que?????? a pessoa faz uma piada racista pra dps pedir desculpas  e a sala toda riu",0,0
"péssimo negócio coração, como é que você faz um negócio desses",0,0
"@VenusIzy eu sei sobre o que você está se referindo, acompanho tudo desde o início inclusive. só não entendi o motivo desse contexto ser racismo, pode me explicar se tem algo concreto, ou pq é o achismo de vocês?",0,0
"O crime foi registrado na tarde desta segunda-feira (3), no Centro Político e Administrativo (CPA), em Cuiabá, e, segundo a Polícia Militar, o criminoso teria levado cerca de R$ 33 mil.  #HiperNotícias #hnt https://t.co/iVNxWxlunD",0,0
Essas minas aí falam que gosta de preto só pela internet pq na realidade só pega branco 😒,1,1
"@EXOvoteBrasil @RadioDisneyBRA @weareoneEXO Boa noite @RadioDisneyBRA, queria muito ouvir ""Love Shot"" do @weareoneEXO na programação, obrigada #PediuTocouRD   Preto",0,0
"Militante:  ""a não que branco tem que ajudar na luta contra o racismo SIM, tem que ouvir nosso lado SIM bla bla""  Branco consciente: ""pô tô estudando e vô me declarar anti racista pra ajudar os negros na luta contra o racismo""  Militante: ala o biscoiteiro gnt kk cha co ta kk",0,0
@essediafoilouco Sem clubismo: Santos São Paulo  Palmeiras  Corinthians Guarani  Portuguesa  São Caetano  Santo André  Paulista Qualquer clube que já ganhou título ou disputou final. Ponte preta,0,0
"@geocaio Exato . Ja vejo preto sofrendo todos os dias , não vou dedicar meu tempo de entretenimento pra isso. Ps : mega respeito quem está vendo a série",0,0
"Atenção Brasileiros... Caderninho preto na mão amanhã, para anotar quem for contra. Nas próximas eleições é só pegar o caderninho  #SenadoQuorumMP871",0,0
Bloco contra as touradas? Bloco anti-capitalista?   Cc: @catarina_mart e @EsquerdaNet  A saga do partido mais hipócrita continua https://t.co/EWhcN6XSHL,0,0
eu to mt gata de cabelo preto,0,0
"Queria mt contar um negócio aqui que ta acontecendo, porém tenho medo da pessoa ter tt, porém   tbm te qr, bjs",0,0
"Ontem assisti a serie ""como vender drogas online""  Mano, q negócio doido",0,0
"jisung de cabelo preto, roupa preta, soltando esse sorriso e risada gostosa me deixa toda AAAAAAAAAALINDO DEMAIS CARA    https://t.co/9IQFHfwZHl",0,0
"Não chamaria de “ jingles”, mas de ofensas musicadas. Um rapaz tão novo, um feminicida em potencial, cuja violência contra mulheres já se evidenciava em tempos da campanha nefasta. O q fazer com tamanha falta de horizonte? Tristes tempos. https://t.co/Q1LHCJQg1W",0,0
"se tem um negócio que dói é ter que abrir mão de amizade  relacionamento foda-se, ninguém morre por coração partido... mas amizade machuca, geralmente são pessoas que tu espera poder contar independente de qualquer coisa e do nada vê que não é mais assim",0,0
"@verasvasc @JulyB_Lucille Ela está numa viagem internacional a pedido do Presidente. Sofreu inúmeros ataques por isso. Mas a viagem e o evento estavam programados há algum tempo, coincidiu com a votação de hj, mas o presidente decidiu que ela deveria ir mesmo assim pela importância do negócio.",0,0
Consideração é aquele negócio que só você tem mais espera do parceiro né,0,0
O nome do negócio era Kilanches...  Adivinha só como eu li...  K,0,0
"eu logo falei pra chefe de aérea do mercado que tem um racista lá no curso, ela ficou puta da vida kkkkkk",0,0
eu tinha um boneco do homem aranha preto de sm3 eu AMAVA este boneco ai sumiu do nada,0,0
