text,is_racism,is_against
VOCE VAI PROVAR NA JUSTIÇA QUE A PAULINHA É RACISTA — quem é essa? https://t.co/n8pb43uZym,0,0
"Dizendo umas histórias doidas, dizendo que meu cabelo vai ficar ruim...",0,0
Esse sou eu tocando no violão. A diferença pra foto anterior é esse detalhe em preto... https://t.co/jVQY9iCVzN,0,0
"Eu sou a única q não fica nessa ""só uso roupa preta""",0,0
Eu custo ficar feliz com o negócio da peneira aí o trem vai i não dá certo,0,0
"Gente, vcs precisam urgentemente desconstruir os “vácuos” como sinal de desinteresse. Porra, não tenho 12 anos pra tá o dia inteiro conversando no zap, e msm estando o dia inteiro no celular não significa que esteja no humor pra manter uma conversa.",0,0
"eai, já atropelou um racista, um machista e um homofóbico hoje?",0,0
@kremyle sim kkk antes eu não sabia o que era o pedacinho aí era tipo um negócio muito misterioso,0,0
"[SE VOCÊ GOSTA DE FANFIC DE BTS PARE AQUI MESMO]  Divulgação é a chave do negócio, e eu to aqui pra divulgar minha nova fanfic Taegi/Taeji na qual Yoonie é uma pessoa não-binária gender fluid. Eu não sei se alguém já leu algo assim, mas eu sentia falta de tal enredo então + https://t.co/C9hTkSd4DT",0,0
quero meu celular todo preto pra ontem,0,0
Quase me deu teto preto kkkk,0,0
@canalpedrugo @roogomes Preta😊,0,0
"@ricardokdot vei americano vem com umas coisa escrito mamãezinha, malvada, bebêzinha, mimada negócio mais ESQUISITO e os cara faz piada com as br que tá escrito tarada? gado dms",0,0
"@LulaOficial Palhaçada,  ladrão chefe da maior organização criminoso. Psicopata",0,0
@leonasmo Não viado. Pesquisa. Kkkkkk. Só pra eu ver um negócio.,0,0
"@vcanedo Entendo; mas acho injusto o Messi levar essa se o CR7 foi vítima de injustiça pesada ano passado. Eu daria pro Van Djik, e a partir do próximo levaria esse negócio mais a sério. Acho q tentaram tirar um pouco a dualidade do prêmio.",0,0
@WaifuFudida sim sim só algo preto ta bom,0,0
quando alguém vem me contar um negócio eu sinto a necessidade de saber a história inteira nos mínimos detalhes pq veio se não for assim eu vou ficar imaginando muitas coisas e tipo mó ruim não poder saber sobre tudo então pfvr faz isso cmg n,0,0
"@senadorhumberto Quem entendia muito de economia foi o teu partido ladrão, roubou de todas as estatais que conseguiu por as mãos. Cambada de ladrões vagabundos! Não esqueceremos!!",0,0
@FatosEx @chanelandfendi1 Mariana quero ir em um negócio desseee,0,0
ATENÇÃO: O Manchester City recusou a primeira oferta de €80M do Bayern pelo Leroy Sané e não aceitará menos que €100M. O Bayern acredita que é demais e decidirá em breve se vai tentar uma nova oferta. No momento o negócio difícil de acontecer. [@FabrizioRomano] https://t.co/Tb1koD8ogt,0,0
"Preta, esquece esses mlk sem graça, vamo morar na minha casa, domingada e churrascada Brahma gelada e banho de borracha",0,0
"SEM QUERER MANDEI UM NEGÓCIO PRO MENINO, O DESESPERO ROLOU SOLTO",0,0
ia falar um negócio aqui mas n vou falar pra não causar..,0,0
@efiipe eae meu preto,0,0
"E não é que este filho da puta se vira p mim no meio de uma chamada e diz “ai eu devo ser preto p não perceber nada disto”? Terminei conversa ali, IS HE MAD?!",0,0
eu pensei em um negócio que eu nunca tinha notado antes a televisão faz de TUDO pra colocar a mulher em um papel de interesseira. eh sempre a madrasta má que quer a herança do pai ou a mulher que quer roubar o namorado da outra aaaaa o machismo enraizado,0,0
Neguin com medo de falar na cara... famoso homão da porra,0,0
@leandroruschel @CarlosBolsonaro Só os ladrões que aniquilaram essa Nação.,0,0
"Se eu acho que deveríamos censurar suas obras? Pelo contrário, acho que deveríamos expor a época e o contexto em que seus pensamentos racistas e eugenistas foram expostos, mas que ele era racista, era pra caralho, e nós sabemos o motivo da direita passar isso pra baixo do tapete.",0,0
"É isso não passei do primeiro episódio de Olhos que Condenam, me senti desconfortável pra caralho assistindo só quem é preto vai entender na moral",0,0
"@luma_paula Não sei explicar direito, mas as mulheres brancas normalmente e quase sempre associam a mulher preta como alguém que queria ser ela, alguém que deve algo a ela, alguém a quem ela projeta um dever-agradecer",0,0
@lariborella um negócio sobre meus relacionamentos,0,0
Uai a Sabrina Garcez passou Nugget preto na sombrancelha? Pra era só pra sapato que usava e depois dava lustre ....  😯,0,0
meninos todo de preto sao meu ponto fraco namoral https://t.co/GnWWTjz1T6,0,0
"""Quero conversar um negócio com você""  O coração chega erra as batidas",0,0
"gente se você começa a namorar e fica terminando e voltando várias vezes DESISTE sério desiste na primeira terminada, pq nunca da certo esse negócio de ficar indo e voltando!!",0,0
O mal de vcs e subestimar mulher preta    A GENTE TÁ AQUI NO CORRE TBM TÁ ??? Tá na hora de vcs começarem a reconhecer,0,0
Esses negócios fazem brilhar os olhos da menininha sentimental que habita em mim.,0,0
"PASTORES RICOS e LADRÕES A CUSTA DOS POBRES, Pr. Paulo Junior https://t.co/TJlIQqKiJp via @YouTube",0,0
@tchelloxx Amo neguin  https://t.co/eoaGZlKaWr,0,0
"@BoladaoLenin @red_pessimist Não precisa ir muito longe: o cobrador de ônibus acusado injustamente de pedofilia pelo então boçal do Magno Malta... Foi torturado e depois de muita batalha foi solto após nove meses q cumpriu sua sentença... Ou seja, preto ou pobre, já nasce condenado",0,0
"@sproutony @wgabsw @siredtolou ai vão se lascar se vocês pensam que todo mundo tem condição financeira e apoio familiar pra isso. esse negócio de ""quem quer, faz"" não existe",0,0
@Diogoringenberg @N_Carvalheira Maluf é um coroinha de igreja perto dos petistas que a chamavam de ladrão,0,0
"@userthaiane @opsdolly Eu achei bonito o monitor e tal, esse negócio aí me dá um toque danado kkkkk",0,0
mano já pensou ela tá mostrando o negócio no celular pra da e aparece uma notificado de mensagem do whats com o nome “jen” https://t.co/CzLQ85DRdh,0,0
Aí que negão MDS 😍,0,0
ei bora se pegar ae para eu testar um negócio rapidão,0,0
"@Atabreno @BoladaoLenin Breno, entenda: RACISMO é RACISMO = raça branca, raça negra, raça amarela (orientais), índios, pardos, mamelucos= RAÇA HUMANA. Preconceito = pré  conceito. O ato de formar um pensamento antes  de conhecer.  EU SOU BRASILEIRA, VC TAMBÉM É.  Sugiro que estude história do Brasil.",0,0
@colevascon Kkkkkkkkkkkkkkkkkk o sonho da sua @ é um negócio desse,0,0
minha visão sobre spiderman nunca mais será a mesma depois daquele negócio de do peter ser trans,0,0
"@sarah_hipolito Kkkkk entendo sua revolta, pelo tamanho da placa o negócio é recorrente, mas foi engraçado, ""proibido estacionar, mas se quiser pode""",0,0
"Essa chuva só pede minha mansão com meu preto do lado, aahhh, só falta a mansão, aff",0,0
tem coisa pior do que ver algum branco explicando pra um negro o que é racismo? pqp,0,0
"@nathaliageovna mas tu é uma pano preto, safada",0,0
E quero usar meu abadá preto😔😔,0,0
"o meu amigo lá se abrindo pra mim, aí ele fala um negócio super importante e eu mando um PRETENDS TO BE SHOCKED  sinceramente o meu destino eh o inferno",0,0
"Cara racista C tanto q seja uma buceta limpa, higienizada, nós tamo caindo d boca — racista dms https://t.co/cKkkN7RgJh",0,0
@mdslaris O negócio é ser viciado em lol mesmo,0,0
@Albrz_ Vai ganhar uma blusa preta e vermelha então ...,0,0
"Bom dia, Nação! Mais uma semana decisiva se iniciando e agora o foco é na Copa do Brasil. O elenco rubro-negro encerra a preparação para o duelo contra a equipe paulista hoje, às 15h, no Ninho do Urubu.   📸 Alexandre Vidal/Flamengo  #CRF https://t.co/n8hs0NDHbn",0,0
"@zebonerges @daviddcn @lancenet Não liga pra 87 e briga por esse título a mas de 30 anos 😂😂😂Deixa de choro e deixa de ser burro, como tu vai ter título da copa nordeste se tu és do ES e torce pro urubu carioca  😂😂😂 não perco meu tempo com ESPIRITUBACA, teu mal é sono .",0,0
"Semana deve ser de temperaturas mais baixas na região de Ribeirão Preto, SP; veja previsão https://t.co/9sndgs6RW4",0,0
@MouraMouraoo Haha só você meu preto 😍,0,0
Eu: hj é dia de usa droga e ir pro puteiro  Preto: então só falta o puteiro,0,0
"Aliás, o carnaval é um negócio tão espetacular que a mesma escola de samba que fez essa comissão de frente há três meses deve, hoje, apoiar uma nova virada de mesa. Pelo terceiro ano seguido. Vejam só...",0,0
"Coração me fala, como é que você faz um negócio desses? Trocar um pra sempre por às vezes Uma aventura, por uma paixão Péssimo negócio, coração",0,0
"@Aninhaf99 E eu cantando ""boi boi boi, boi da cara preta"" no trabalho KKKKKKKKKKK",0,0
"Homens que costumam falar q tal menina quis ter um filho por causa do dinheiro..q dinheiro? 400 reais de pensão por mês? Bah, ótimo negócio..",0,0
O auge do dia foi minha mae falando que sou doida pq escolho uns negócios mt difíceis pra fazer😂😂,0,0
"Inscrições prorrogadas até 14/06 para o Prêmio #CSC2019 direcionado às #startups q têm um negócio inovador, em operação ou ainda pré-operacional, que contribua para tornar as cidades mais e inteligentes. Informe-se!  #brasil #brasildigital  #smartcity https://t.co/bnACSHulPO https://t.co/MW7uH6n3Zb",0,0
"Aí o áudio do irmão da Júlia falando com a menina q expôs o vídeo do racismo dela... Ele usou a palavra ""equivocada""  Vcs acreditam nisso??? Pq eu não E Q U I V O C A D A????  ELA FOI NO MÍNIMO UM MONSTRO. https://t.co/wU8hVTxk1r",0,0
"podia existir o negócio de curtir a mensagem no wpp tbm né,minha vida seria bem mais fácil",0,0
"@KakaxeRataque O negócio é jogar skyrin, esses tal de mmorpg n tem moral",0,0
"↔ ATENÇÃO, MUITA ATENÇÃO ↔ CASAIS DE SAPATÃO QUE PRETINHAS ↘ Estamos produzindo um doc sobre amor/afeto preto e precisamos de vídeozinhos, fotinhas de vocês. Para mais informações comente aqui ou chame na DM. 💜 NÓS AJUDEM QUE TÁ FICANDO LINDO💜",0,0
aquele negócio do você não gosta de comida japonesa ainda eh muito real 😪,0,0
@valentinahahn oi chega aqui rapidão quero te falar um negócio k,0,0
"nem fodendo que fui selecionada pra esse negócio, n é possível sksjskksk",0,0
@romao_leite @pimenteljoaov aplica oc nao quer ne leite preto,0,0
@Flamengo @canalpremiere Ainda bem que o negócio deles é jogar kkkkkk amo meu Flamengo😂🔴⚫,0,0
"@thotomartins @R6BRatualizado @INTZeSports @LucasYuuk @VnxxR6 Ninguém libera jogador de graça brother, negócios são negócios, vamos supor que a multa dele era de 70mil reais, tu acha q eles vão dar o cara de graça pra outra org? Fora que na cláusula de contrato deve ter uma multa de afastamento, ou receber x% menos de salário se não jogar",0,0
tem que rir de um negócio desses,0,0
Até que estou me dando bem  com esse negócio de Tinder só vem gente bonita amei KKKKKKKK,0,0
@AnnGabeyea Cadê o negócio na tua foto de perfil,0,0
"""O Emily me manda foto do macaco aí"" kkkkkkkkkkkkkkkk Anderson é mt coisa",0,0
"@randolfeap Até parece que @jairbolsonaro vai doar uma arma para cada família ter em casa. Pelo visto, a esquerda não vê problema algum em que traficantes, milicianos e assassinos e ladrões em geral tenham armas cada vez mais sofisticadas e letais. O que diz sobre isso, @randolfeap?",0,0
"dei um chute, minha chuteira q era branca já tá preta",0,0
como cancela esse negócio dos áudios do wpp abrirem sozinhos em sequência?? que coisa chata bicho,0,0
"Tenho q ver o negócio da minha roupa, se minha avó banca",0,0
"13 PERGUNTAS ETC  1 - sábado 2 - Hoje 3 - X 4 - V 5 - sabado se não me engano 6 - suco de laranja  7 - iji uma ruma, mas purê de batata é incrível 8 - P 9 - @afulepa  10 - fiquei já 11 - mais (?) 12 - preto, ou cinza ou vermelho n sei 13 - difícil,,,,,,,,,,,,,,,, mas acho que b99",0,0
"Jesus era anarquista , não racista .",0,0
@Bettosp_71 @Dom_Rezende33 Só fiz isso pra vc ver direito esse negócio do chorão aí...sobre Freguês já já a gente vê kkkkkk,0,0
@flyzaynj Eu não tenho funkos. Deuzulivre com minhas filhas ter esses negócios. No entanto temos muitas pelúcias estranhas. #melhorquefunko alguém brinca com os brinquedos.,0,0
@darkIouist urubu fica on aqui não posso entrar no wpp,0,0
@ihcarneiro Negócia,0,0
"@isa_henkes Eu já me sinto sufocada na sala do caesp, num negócio desses eu entro em pânico",0,0
"@AnabellaSalas @brasil_lyna Mostrar os bastidores do covil de ladrões é jogar contra? Desculpe, vc tá enganada",0,0
